"identifiant","Prénom","Nom","Région","Département","Numéro de circonscription","Profession","Groupe politique (complet)","Groupe politique (abrégé)"
"assembly_chair:yael-braun-pivet","Yaël","Braun-Pivet","","","","Présidente de l'Assemblée nationale","Présidente de l'Assemblée nationale",""
"minister:sebastien_lecornu","Sébastien","Lecornu","","","","Premier ministre","Gouvernement","GOUV"
"minister:laurent_panifous","Laurent","Panifous","","","","Ministre délégué auprès du Premier ministre, chargé des Relations avec le Parlement","Gouvernement","GOUV"
"minister:maud_bregeon","Maud","Bregeon","","","","Ministre déléguée, porte-parole du Gouvernement auprès du Premier ministre et ministre déléguée, chargée de l'Énergie auprès du ministre de l'Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique","Gouvernement","GOUV"
"minister:aurore_berge","Aurore","Bergé","","","","Ministre déléguée auprès du Premier ministre, chargée de l'Égalité entre les femmes et les hommes et de la Lutte contre les discriminations","Gouvernement", "GOUV"
"minister:laurent_nunez","Laurent","Nunez","","","","Ministre de l'interieur","Gouvernement", "GOUV"
"minister:jean_didier_berger","Jean-Didier","Berger","","","","Ministre délégué auprès du ministre de l'Intérieur","Gouvernement","GOUV"
"minister:marie-pierre-verdrenne","Marie-Pierre","Verdrenne","","","","Ministre déléguée auprès du ministre de l’Intérieur, chargée de la Citoyenneté","Gouvernement", "GOUV"
"minister:catherine_vautrin","Catherine","Vautrin","","","","Ministre des Armées et des Anciens combattants","Gouvernement", "GOUV"
"minister:alice-rufo","Alice","Rufo","","","","Ministre déléguée auprès de la ministre des Armées et des Anciens combattants","Gouvernement", "GOUV"
"minister:jean-pierre-farandou","Jean-Pierre","Farandou","","","","Ministre du Travail et des Solidarités","Gouvernement", "GOUV"
"minister:sabrina-roubache","Sabrina","Roubache","","","","Ministre déléguée auprès du ministre du Travail et des Solidarités et du ministre de l'Éducation nationale, chargée de l'Enseignement, et de la Formation professionnels et de l’Apprentissage","Gouvernement", "GOUV"
"minister:monique-barbut","Monique","Barbut","","","","Ministre de la Transition écologique, de la Biodiversité et des Négociations internationales sur le climat et la nature","Gouvernement", "GOUV"
"minister:catherine-chabaud","Catherine","Chabaud","","","","Ministre déléguée auprès de la ministre de la Transition écologique, de la Biodiversité et des Négociations internationales sur le climat et la nature, chargée de la Mer et de la Pêche","Gouvernement", "GOUV"
"minister:mathieu-lefevre","Mathieu","Lefèvre","","","","Ministre délégué auprès de la ministre de la Transition écologique, de la Biodiversité et des Négociations internationales sur le climat et la nature, chargé de la Transition écologique","Gouvernement", "GOUV"
"minister:gerald-darmanin","Gérald","Darmanin","","","","Garde des Sceaux, ministre de la Justice","Gouvernement", "GOUV"
"minister:roland-lescure","Roland","Lescure","","","","Ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique","Gouvernement", "GOUV"
"minister:sebastien-martin","Sébastien","Martin","","","","Ministre délégué auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargé de l'Industrie","Gouvernement", "GOUV"
"minister:anne-le-henanff","Anne","Le-Henanff","","","","Ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l’Intelligence artificielle et du Numérique","Gouvernement", "GOUV"
"minister:serge-papin","Serge","Papin","","","","Ministre des Petites et moyennes entreprises, du Commerce, de l’Artisanat, du Tourisme et du Pouvoir d’achat","Gouvernement","GOUV"
"minister:annie-genevard","Annie","Genevard","","","","Ministre de l’Agriculture, de l’Agro-alimentaire et de la Souveraineté alimentaire","Gouvernement","GOUV"
"minister:edouard-geffray","Édouard","Geffray","","","","Ministre de l’Éducation nationale","Gouvernement","GOUV"
"minister:jean-noel-barrot","Jean-Noël","Barrot","","","","Ministre de l’Éducation nationale","Gouvernement","GOUV"
"minister:benjamin-haddad","Benjamin","Haddad","","","","Ministre délégué auprès du ministre de l’Europe et des Affaires étrangères, chargé de l’Europe","Gouvernement","GOUV"
"minister:nicolas-forissier","Nicolas","Forissier","","","","Ministre délégué auprès du ministre de l’Europe et des Affaires étrangères, chargé du Commerce extérieur et de l'Attractivité","Gouvernement","GOUV"
"minister:eleonore-caroit","Éléonore","Caroit","","","","Ministre déléguée auprès du ministre de l’Europe et des Affaires étrangères, chargée de la Francophonie, des Partenariats internationaux et des Français de l’étranger","Gouvernement","GOUV"
"minister:stephanie-rist","Stéphanie","Rist","","","","Ministre déléguée auprès du ministre de l’Europe et des Affaires étrangères, chargée de la Francophonie, des Partenariats internationaux et des Français de l’étranger","Gouvernement","GOUV"
"minister:camille-galliard-minier","Camille","Galliard-Minier","","","","Ministre déléguée, auprès de la ministre de la Santé, des Familles, de l’Autonomie et des Personnes handicapées, chargée de l’Autonomie et des Personnes handicapées","Gouvernement","GOUV"
"minister:catherine-pegard","Catherine","Pégard","","","","Ministre de la Culture","Gouvernement","GOUV"
"minister:naima-moutchou","Naïma","Moutchou","","","","Ministre des Outre-mer","Gouvernement","GOUV"
"minister:francoise-gatel","Françoise","Gatel","","","","Ministre de l’Aménagement du territoire et de la Décentralisation","Gouvernement","GOUV"
"minister:michel-fournier","Michel","Fournier","","","","Ministre délégué auprès de la ministre de l’Aménagement du territoire et de la Décentralisation, chargé de la Ruralité","Gouvernement","GOUV"
"minister:david-amiel","David","Amiel","","","","Ministre de l’Action et des Comptes publics","Gouvernement","GOUV"
"minister:philippe-baptiste","Philippe","Baptiste","","","","Ministre de l’Enseignement supérieur, de la Recherche et de l’Espace","Gouvernement","GOUV"
"minister:marina-ferrari","Marina","Ferrari","","","","Ministre des Sports, de la Jeunesse et de la Vie associative","Gouvernement","GOUV"
"minister:philippe-tabarot","Philippe","Tabarot","","","","Ministre des Transports","Gouvernement","GOUV"
"minister:vincent-jeanbrun","Vincent","Jeanbrun","","","","Ministre de la Ville et du Logement","Gouvernement","GOUV"
