token_row_index,token_id,segment_id,text,text_stripped,start_sec,end_sec,duration_sec,is_empty,is_punctuation_like,prev_text,next_text,prev_end_sec,next_start_sec,gap_from_prev_sec,gap_to_next_sec,is_repeat_with_prev,near_30s_boundary,has_diar_overlap,best_overlap_sec,best_overlap_ratio,total_overlap_sec,total_overlap_ratio,best_speaker,best_diar_segment_id,speaker_count_overlapping
0,0,,,,9.619999999999997,10.2,0.5800000000000018,True,False,,,,10.2,,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
1,1,,,,10.2,10.54,0.33999999999999986,True,False,,,10.2,10.54,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
2,2,,,,10.54,10.9,0.3600000000000012,True,False,,,10.54,10.98,0.0,0.08000000000000007,False,False,False,0.0,0.0,0.0,0.0,,,0
3,3,,,,10.98,11.14,0.16000000000000014,True,False,,,10.9,11.14,0.08000000000000007,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
4,4,,,,11.14,11.26,0.11999999999999922,True,False,,,11.14,11.26,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
5,5,,,,11.26,11.36,0.09999999999999964,True,False,,,11.26,11.36,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
6,6,,,,11.36,11.64,0.28000000000000114,True,False,,,11.36,11.64,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
7,7,,,,11.64,11.92,0.27999999999999936,True,False,,,11.64,11.92,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
8,8,,,,11.92,12.44,0.5199999999999996,True,False,,,11.92,12.62,0.0,0.17999999999999972,False,False,False,0.0,0.0,0.0,0.0,,,0
9,9,,,,12.62,13.18,0.5600000000000005,True,False,,,12.44,13.18,0.17999999999999972,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
10,10,,,,13.18,13.6,0.41999999999999993,True,False,,,13.18,13.6,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
11,11,,,,13.6,13.76,0.16000000000000014,True,False,,,13.6,13.76,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
12,12,,,,13.76,14.32,0.5600000000000005,True,False,,,13.76,14.32,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
13,13,,,,14.32,16.44,2.120000000000001,True,False,,,14.32,16.44,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
14,14,,,,16.44,17.3,0.8599999999999994,True,False,,,16.44,17.3,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
15,15,,,,17.3,17.4,0.09999999999999787,True,False,,,17.3,17.4,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
16,16,,,,17.4,17.66,0.26000000000000156,True,False,,,17.4,17.66,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
17,17,,,,17.66,18.06,0.3999999999999986,True,False,,,17.66,19.12,0.0,1.0600000000000023,False,False,False,0.0,0.0,0.0,0.0,,,0
18,18,,,,19.12,19.7,0.5799999999999983,True,False,,,18.06,19.7,1.0600000000000023,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
19,19,,,,19.7,19.86,0.16000000000000014,True,False,,,19.7,19.86,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
20,20,,,,19.86,20.12,0.26000000000000156,True,False,,,19.86,20.12,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
21,21,,,,20.12,20.32,0.1999999999999993,True,False,,,20.12,20.32,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
22,22,,,,20.32,20.5,0.17999999999999972,True,False,,,20.32,20.5,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
23,23,,,,20.5,20.74,0.23999999999999844,True,False,,,20.5,20.74,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
24,24,,,,20.74,21.06,0.3200000000000003,True,False,,,20.74,21.06,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
25,25,,,,21.06,21.22,0.16000000000000014,True,False,,,21.06,21.22,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
26,26,,,,21.22,21.52,0.3000000000000007,True,False,,,21.22,21.98,0.0,0.46000000000000085,False,False,False,0.0,0.0,0.0,0.0,,,0
27,27,,,,21.98,22.56,0.5799999999999983,True,False,,,21.52,22.56,0.46000000000000085,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
28,28,,,,22.56,22.96,0.40000000000000213,True,False,,,22.56,22.96,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
29,29,,,,22.96,23.2,0.23999999999999844,True,False,,,22.96,23.2,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
30,30,,,,23.2,23.3,0.10000000000000142,True,False,,,23.2,23.3,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
31,31,,,,23.3,23.78,0.4800000000000004,True,False,,,23.3,23.78,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
32,32,,,,23.78,23.92,0.14000000000000057,True,False,,,23.78,23.92,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
33,33,,,,23.92,24.18,0.259999999999998,True,False,,,23.92,24.18,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
34,34,,,,24.18,24.66,0.4800000000000004,True,False,,,24.18,24.66,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
35,35,,,,24.66,25.24,0.5799999999999983,True,False,,,24.66,25.3,0.0,0.060000000000002274,False,False,False,0.0,0.0,0.0,0.0,,,0
